50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,block_deflection,clearance_other,foul_committed_card,foul_committed_offensive,goalkeeper_punched_out,pass_deflected,pass_outswinging,shot_deflected,shot_one_on_one,shot_open_goal,pass_miscommunication,foul_committed_penalty,foul_won_penalty,block_save_block,dribble_no_touch,goalkeeper_success_in_play,player_off_permanent,goalkeeper_shot_saved_off_target,shot_saved_off_target,goalkeeper_lost_out,shot_redirect,shot_follows_dribble,goalkeeper_shot_saved_to_post,shot_saved_to_post,goalkeeper_lost_in_play,goalkeeper_penalty_saved_to_post,half_start_late_video_start,goalkeeper_success_out
,,,,,,,,,,,,,,,,,,0.575818,,,,,,,,,,,70cc3f8c-a285-4223-9cfc-39249c5bd4a6,1205,,,"[118.9, 57.6]",3829506,32,,,,,-2.1515527,934550af-aacf-4923-a389-2b00ff1483f9,Right Foot,True,True,"[112.6, 48.0]",True,Low Pass,,11.482595,,,Jimmy Briand,3213.0,,,,,,,1,Regular Play,Yannis Salibur,3122.0,Right Midfield,61,Guingamp,142,['9ab2b90b-0f59-4215-a669-8b9427d16ff5'],50,,,,,,,,,,,,,,,,Guingamp,142,00:32:50.325,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.332874,,,,,,,,,,,2a142af4-2981-4821-97ee-dae4d30c61bf,761,,,"[120.0, 80.0]",3829505,19,,,,,-1.724651,42f4d5f0-21af-4456-a380-9fb0d0acdc2c,Right Foot,,,"[114.2, 42.6]",True,High Pass,,37.84706,,,Robert Berič,4601.0,,,,Outswinging,,Corner,1,From Corner,Valentin Eysseric,4254.0,Center Attacking Midfield,38,Saint-Étienne,135,['5326ebff-9266-493c-9341-4747d2fe7020'],29,,,,,,,,,,,,,,,,Saint-Étienne,135,00:19:29.503,Pass,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.056518,,,,,,,,,,,4c22ffd9-a19e-4103-a4cb-39ad2c8603ba,2811,,,"[98.5, 66.5]",3829505,69,,,,,-1.4655528,1cf32d83-07cb-4a02-affb-e96bf4a37535,Left Foot,,,"[100.0, 52.3]",True,Ground Pass,,14.279006,,,Kévin Monnet-Paquet,4431.0,,,,,,,2,From Throw In,Valentin Eysseric,4254.0,Center Attacking Midfield,163,Saint-Étienne,135,['5b10e62c-1218-4193-8f63-1393f8b94372'],44,,,,,,,,,,,,,,,,Saint-Étienne,135,00:24:44.061,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.501162,,,,,,,,,,,5013af16-1ff9-4746-b6d1-02521b43ad61,2912,,,"[117.3, 55.6]",3829504,71,,,,,-2.0965648,22006502-a6c8-4e54-b691-2732f5aeeaba,Right Foot,True,True,"[112.6, 47.5]",True,Ground Pass,,9.364828,,,Zlatan Ibrahimović,3672.0,,,,,,,2,From Goal Kick,Edinson Roberto Cavani Gómez,4319.0,Left Wing,145,Paris Saint-Germain,131,['b7d07316-1e23-4ad4-b5e3-40f52673a1dc'],23,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:26:23.899,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.626837,,,,,,,,,,,f8fb491c-bd26-41c2-977b-d362b07203cd,3297,,,"[114.9, 58.3]",3829504,82,,,,,-1.8445671,6f268715-0453-420d-b678-f4530a6014e4,Right Foot,True,True,"[110.8, 43.7]",True,Ground Pass,,15.164762,,,Zlatan Ibrahimović,3672.0,,,,,,,2,Regular Play,Serge Aurier,3481.0,Right Back,161,Paris Saint-Germain,131,['12a618bc-8707-4de5-a9a4-933a3797efc5'],12,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:37:12.605,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.907434,,,,,,,,,,,52b96c0c-682e-420d-b046-084cebf4a5be,1527,,,"[99.4, 40.1]",3829503,40,,,,,3.0309355,485c1439-9a5a-4c49-b2be-d444f2153546,Right Foot,,,"[90.4, 41.1]",True,Ground Pass,,9.055386,,,Valentin Rongier,3365.0,,,,,,,1,From Throw In,Adrien Thomasson,3375.0,Left Wing,95,Nantes,144,"['4b5cc3e9-08b8-4a54-892f-81ee728689a9', 'f9a7d00f-a560-40fd-b3be-d87c05f523e9']",23,,,,,,,,,,,,,,,,Nantes,144,00:40:23.821,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.159998,,,,,,,,,,,fe633f3d-a70c-4dff-bc3b-cad2260fca76,1920,,,"[86.9, 18.2]",3829503,49,,,,,1.5274239,ab0c34cb-2b1d-452e-82b0-6e7ea9142c77,Right Foot,,,"[89.3, 73.5]",True,High Pass,,55.352055,,,Youssouf Sabaly,3404.0,,,True,,,,2,From Counter,Adrien Thomasson,3375.0,Left Wing,113,Nantes,144,['79abd047-3bdc-4b34-a5cc-8d4a520bd562'],44,,,,,,,,,,,,,,,,Nantes,144,00:04:44.864,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.636466,,,,,,,,,,,5560ec58-33f9-4807-86b5-abc0457eb445,1591,,,"[120.0, 80.0]",3829502,38,,,,,-1.6884767,b9264324-2c4d-4235-a1f7-3cb29492ec32,Left Foot,,,"[115.2, 39.4]",True,High Pass,True,40.88276,,,Mario Pašalić,11603.0,,,True,Inswinging,,Corner,1,From Corner,Thomas Lemar,3245.0,Left Center Midfield,93,AS Monaco,129,['37b40ff1-dfac-4e77-8bf9-d88adb28cce5'],2,,,,,,,,,,,,,,,,AS Monaco,129,00:38:02.554,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.872654,,,,,,,,,,,63a14740-7b35-4153-ac8f-7d563e653ca3,1494,,,"[92.8, 23.0]",3829501,40,,,,,0.95360494,9aae806d-10f5-4394-8a7a-ebf3826d3ab3,Left Foot,,,"[110.4, 47.8]",True,High Pass,,30.410524,,,Abdoulaye Doucouré,3292.0,,,,,,,1,From Throw In,Ludovic Baal,2985.0,Left Midfield,85,Rennes,134,['2588b569-4f5b-4fa9-8fcf-1d3886fc7697'],47,,,,,,,,,,,,,,,,Rennes,134,00:40:47.438,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.84729,,,,,,,,,,,5492abe7-f515-41c4-839f-f08e16b371e9,1926,,,"[117.1, 27.5]",3829501,50,,,,,2.1268232,ed8bc583-68dc-4d09-95ab-b83476e14def,Head,True,,"[108.4, 41.5]",True,High Pass,,16.48302,,,Wallace Fortuna dos Santos,8277.0,,,,,,,2,From Corner,Nabil Dirar,5727.0,Right Wing,111,AS Monaco,129,['ac69e0eb-8c08-4785-b737-0ddfc64ec63a'],18,,,,,,,,,,,,,,,,AS Monaco,129,00:05:18.418,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.477751,,,,,,,,,,,b7cf3b3d-5280-4f2e-a249-cfb660ac58cd,1368,,,"[98.2, 6.8]",3829500,29,,,,,1.1927207,1ada1c5f-a1f5-41e3-8423-82093c5b72f5,Right Foot,True,,"[112.3, 42.3]",True,High Pass,,38.197643,,,Michy Batshuayi Tunga,3457.0,,,,,,,1,Regular Play,Abdelaziz Barrada,23933.0,Left Wing,75,Marseille,147,['2d397236-d79f-4a60-84cd-8d31a3ddf696'],23,,,,,,,,,,,,,,,,Marseille,147,00:29:23.958,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.496767,,,,,,,,,,,09922afd-e9df-4f57-8136-c5a2827cb1da,1697,,,"[110.4, 60.5]",3829498,37,,,,,-1.4129509,431f8fa0-de8e-4dfc-b6d1-58f938dcaa71,Right Foot,True,,"[115.0, 31.6]",True,High Pass,,29.2638,,,Diego Alejandro Rolan Silva,6739.0,,,,,,,1,From Throw In,Wahbi Khazri,3196.0,Right Wing,91,Bordeaux,146,['4a9311e5-375e-400c-b7d2-fc60986fb68b'],10,,,,,,,,,,,,,,,,Bordeaux,146,00:37:10.954,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.399485,,,,,,,,,,,7ab2edc8-2775-4667-be77-960857be3420,2125,,,"[113.8, 68.3]",3829498,46,,,,,-1.5605927,c67466d7-cb52-425e-9932-7efaf0e509fc,Right Foot,True,,"[114.1, 38.9]",True,High Pass,,29.401531,,,Benjamin Moukandjo Bilé,33178.0,,,,,,,2,From Free Kick,Lamine Gassama,6335.0,Right Back,111,Lorient,165,['31107cad-585d-4856-9e1a-711f5f8c9000'],36,,,,,,,,,,,,,,,,Lorient,165,00:01:36.253,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
