counterpress,duration,id,index,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,team,team_id,timestamp,type,under_pressure,pass_goal_assist,pass_straight,pass_no_touch,pass_miscommunication,formation,position_id,position_name,jersey_number
,2.427329,c7a910d0-dded-4392-9504-8a8e73ed0a99,836,"[76.0, 25.3]",3754085,21,,,,0.7493482,af63688d-00f5-4f4a-991b-828653fc4903,Right Foot,,,,"[107.6, 54.7]",High Pass,,43.161556,,,Riyad Mahrez,3814.0,,,Through Ball,True,,1,Regular Play,N''Golo Kanté,3961.0,Left Center Midfield,47,Leicester City,22,['02f4179b-4928-4415-b0d6-1758a13dc76c'],47,Leicester City,22,00:21:47.604,Pass,,True,,,,,,,
,1.142272,4d5c22c9-2e74-45b7-a858-e25d8612cf91,2679,"[104.3, 39.0]",3754085,66,,,,1.0226728,1bb537d8-137a-4176-890c-8f2669918357,Right Foot,,,,"[110.1, 48.5]",Ground Pass,,11.130589,,,Riyad Mahrez,3814.0,,,,,,2,Regular Play,Jamie Vardy,10960.0,Left Center Forward,132,Leicester City,22,['6bdacf45-04fd-422a-a569-3b88b4a13ada'],44,Leicester City,22,00:21:44.522,Pass,,True,,,,,,,
,1.049276,4c88efef-fa3e-4c1e-9d52-19ce6b25e251,2711,"[105.8, 57.5]",3754051,84,,,,-1.335066,223ab57c-754b-4557-b075-257f9ca1b714,Right Foot,,,,"[110.7, 37.1]",High Pass,,20.980228,,,Odion Jude Ighalo,5458.0,,,,,,2,Regular Play,Valon Behrami,5540.0,Right Midfield,187,Watford,23,['96783727-2a2b-4f0a-8b23-7630da8803c6'],27,Watford,23,00:39:27.208,Pass,,True,,,,,,,
,1.809446,f6d21963-4332-4f6f-b741-1facff074dbf,2987,"[120.0, 80.0]",3754046,75,,,,-1.7594796,7e123fda-cb65-4847-bfb4-49c5a2257ca1,Left Foot,,,,"[112.4, 40.2]",High Pass,True,40.51913,,,Scott Dann,3407.0,,,Inswinging,,Corner,2,From Corner,Jason Puncheon,19688.0,Left Wing,149,Crystal Palace,31,['af608b76-ea5c-4f12-99c6-e0fa724c542c'],30,Crystal Palace,31,00:30:30.163,Pass,,True,,,,,,,
,0.705248,e192fb3b-71fc-4afa-94fb-8bf63a3a52f3,3157,"[116.4, 53.4]",3754046,80,,,,-1.6299378,f2a00f9a-f2bf-4c3b-90d6-5fab6ea5ed35,Right Foot,True,,,"[115.5, 38.2]",Ground Pass,,15.226622,,,Romelu Lukaku Menama,3289.0,,,,,,2,From Throw In,Gerard Deulofeu Lázaro,3726.0,Right Wing,158,Everton,29,['3993917e-bd65-433d-a35a-e9149291c898'],42,Everton,29,00:35:42.391,Pass,,True,,,,,,,
,0.535552,3b12905c-6003-4560-8c89-9aef38d8bc1a,174,"[117.2, 60.4]",3754072,3,,,,-1.5550495,af9e2f1b-7e19-43fa-a30f-708cd1831d8b,Right Foot,True,,,"[117.4, 47.7]",Ground Pass,,12.701574,,,Odion Jude Ighalo,5458.0,,,,,,1,From Throw In,Allan Romeo Nyom,3991.0,Right Back,12,Watford,23,['1e5b96db-1946-49c8-a58d-99fd4f87593f'],38,Watford,23,00:03:38.132,Pass,,True,,,,,,,
,1.619618,2855a97e-3e04-483a-a5e4-f9b251a6c46a,641,"[62.6, 33.5]",3754082,18,,,,0.6939315,974bf9ad-abd6-486e-a36f-da0c009f782e,Right Foot,,,,"[87.0, 53.8]",High Pass,,31.740353,,,Gerard Deulofeu Lázaro,3726.0,,,Through Ball,True,,1,From Counter,Arouna Koné,26696.0,Left Wing,42,Everton,29,['d5530d02-0a53-4e52-a239-792763bb6c8a'],7,Everton,29,00:18:07.950,Pass,,True,,,,,,,
,0.575335,26135842-94d3-4806-bfe8-92d222070c08,1080,"[99.4, 45.4]",3754082,30,,,,-1.2633989,8ff56786-0d4e-4518-a100-99f81fc7053d,Left Foot,,,,"[101.4, 39.1]",Ground Pass,,6.6098413,,,Arouna Koné,26696.0,,,,,,1,From Throw In,Romelu Lukaku Menama,3289.0,Center Forward,62,Everton,29,"['9db28741-b0bc-4154-8eff-09e652f2fd0d', 'dd1ea687-04a4-4e8a-987f-0e910c8154ed']",26,Everton,29,00:30:26.329,Pass,True,True,,,,,,,
,2.239214,89713130-fd3b-46c7-a990-69927fd34ace,1790,"[42.9, 68.2]",3754082,47,,,,-0.59367263,ecfaab95-f57e-47fe-b694-1277a4dbfdbc,Right Foot,,,,"[87.5, 38.1]",High Pass,,53.806786,,,Jermain Defoe,3337.0,,,,,,1,From Counter,Sebastián Coates Nión,6300.0,Right Center Back,89,Sunderland,41,['6130e8f9-933e-4d5e-9321-b5a4aa2a2eaa'],57,Sunderland,41,00:47:57.091,Pass,,True,,,,,,,
,1.501295,d0c31be2-169f-41c6-8398-bdd34968a667,1973,"[113.9, 13.7]",3754082,49,,,,1.5156798,6d1b6d0b-4ac9-499d-b117-ccd0648138eb,Right Foot,True,,,"[115.5, 42.7]",High Pass,,29.044104,,,Steven Fletcher,9554.0,,,,,,2,Regular Play,Patrick van Aanholt,3321.0,Left Wing Back,101,Sunderland,41,['cb2cd979-3852-4ef7-a3df-55bcdfeba102'],44,Sunderland,41,00:04:44.553,Pass,,True,,,,,,,
,2.668584,66195f91-d4af-4ad7-a95d-5ca53533af07,2313,"[51.2, 60.3]",3754082,59,,,,-0.36348143,4fd97964-597c-4efa-a05a-48c464066884,Right Foot,,,,"[93.0, 44.4]",Ground Pass,,44.72192,,,Romelu Lukaku Menama,3289.0,,,Through Ball,True,,2,From Counter,Gerard Deulofeu Lázaro,3726.0,Right Wing,122,Everton,29,['7d2dc5d7-b88f-4769-8405-cd5f0ee4dd6e'],37,Everton,29,00:14:37.945,Pass,,True,,,,,,,
,1.725435,30210d14-9be1-4ecd-b300-4987665c3402,2371,"[101.0, 23.9]",3754082,61,,,,0.02272336,10ebb835-f9bc-4dfa-b9a7-4fee5bec0244,Right Foot,,,,"[114.2, 24.2]",Ground Pass,,13.203408,,,Arouna Koné,26696.0,,,Through Ball,True,,2,Regular Play,James McCarthy,3607.0,Right Center Midfield,125,Everton,29,['03619bdd-a807-418b-bf25-bd871534dccf'],57,Everton,29,00:16:57.053,Pass,,True,,,,,,,
,1.437829,fb3d3a54-4339-4c28-b722-fb9f4d718bf1,2975,"[99.8, 58.7]",3754082,75,,,,-0.9865864,285460ba-b852-4c27-962a-6ffbf3039928,Left Foot,,,,"[111.9, 40.4]",High Pass,,21.93855,,,Arouna Koné,26696.0,,,,,,2,From Throw In,Romelu Lukaku Menama,3289.0,Center Forward,139,Everton,29,['bce0d94f-a862-4987-97c7-ce9d0fe071fa'],42,Everton,29,00:30:42.591,Pass,,True,,,,,,,
,1.867591,639f5c4c-037a-4d47-8c2b-c42edbceeac1,1369,"[109.8, 49.7]",3754106,38,,,,-2.1708465,dc152366-1a60-4a4a-9585-2ceb6f14ad67,Left Foot,,,,"[99.4, 34.5]",Low Pass,,18.417383,,,Jack Grealish,9638.0,,,,,,1,From Corner,Micah Richards,42700.0,Right Center Back,89,Aston Villa,59,"['4a4f019f-b26c-4a8c-ad34-2ba764a60677', '842872e5-8c57-4433-a03e-5bc8bcb903c4']",52,Aston Villa,59,00:38:52.607,Pass,True,True,,,,,,,
