bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,50_50,block_offensive,foul_committed_offensive,injury_stoppage_in_chain,shot_one_on_one,clearance_other,dribble_overrun,block_save_block,shot_open_goal,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,ball_recovery_offensive,player_off_permanent,goalkeeper_success_in_play,goalkeeper_shot_saved_off_target,shot_saved_off_target,shot_redirect,goalkeeper_lost_out,goalkeeper_lost_in_play,goalkeeper_shot_saved_to_post,shot_saved_to_post,shot_follows_dribble,goalkeeper_success_out,half_end_early_video_end,pass_start_x,pass_start_y,pass_end_x,pass_end_y
,,,,,,,,,,,,,,,,1.126,,,,,,,,,,,,ac3b69a2-2738-4526-8edb-66225357edea,3402,,"[82.9, 45.4]",267611,87,,,,,-1.0303768,71a856eb-7757-4f27-8ca7-a1bfd5bcce71,Right Foot,,,,"[96.4, 22.9]",True,Ground Pass,,26.239283,,,,,Jonathan Viera Ramos,10755.0,,,,,,,2,Regular Play,Nabil El Zhar,6608.0,Right Center Forward,171,Las Palmas,208,['1d4dda24-c128-41ec-bfff-976ff7f040cc'],5,,,,,,,,,,,,,,,,,Las Palmas,208,00:42:05.733,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9,45.4,96.4,22.9
,,,,,,,,,,,,,,,,1.269102,,,,,,,,,,,,b735524b-713b-4857-8f01-f468a3956ff6,2234,,"[112.8, 22.1]",266236,53,,,,,1.5878401,442bff23-9334-46c5-bfba-cdfb5bcff89c,Left Foot,True,,,"[112.5, 39.7]",True,High Pass,,17.602556,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,97,Barcelona,217,"['6a288805-992f-48be-94d8-7038f09c45a5', '8bdcde29-25bf-4e3c-9967-2f45bc72a35a']",49,,,,,,,,,,,,,,,,,Barcelona,217,00:08:49.607,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,112.8,22.1,112.5,39.7
,,,,,,,,,,,,,,,,3.1839,,,,,,,,,,,,b39b91c1-cf3f-400e-925a-c85b853ff9f4,2480,,"[69.9, 58.8]",267274,57,,,,,-0.030461488,5509c751-7f71-4360-9175-e97ebbac0bc0,Right Foot,,,,"[106.0, 57.7]",True,High Pass,,36.116756,,,,,Luis Alberto Suárez Díaz,5246.0,,,,Through Ball,True,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,111,Barcelona,217,['20afa091-f1a4-4112-a49f-2c6cbaa3a588'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:12:57.144,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9,58.8,106.0,57.7
,,,,,,,,,,,,,,,,0.856118,,,,,,,,,,,,5116ceec-5a8c-4f18-bbd9-2da9ce4fd5f3,3776,,"[104.9, 40.4]",267274,85,,,,,1.3127891,b11eef0d-6e84-4b3c-85fc-353794d5615f,Right Foot,,,,"[106.8, 47.6]",True,Ground Pass,,7.4464755,,,,,Santiago Mina Lorenzo,6594.0,,,,,,,2,From Counter,Francisco Alcácer García,6402.0,Center Forward,155,Valencia,207,['33afa34b-b9ba-46e7-9812-39999c080a9d'],3,,,,,,,,,,,,,,,,,Valencia,207,00:40:03.477,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9,40.4,106.8,47.6
,,,,,,,,,,,,,,,,1.461,,,,,,,,,,,,cf0012a7-6380-487b-a77f-ecf70370a663,2519,,"[85.7, 43.0]",266961,61,,,,,1.2372816,9b54e4f5-9c67-43ca-bd5c-f0c27a580351,Left Foot,,,,"[90.1, 55.7]",True,Ground Pass,,13.44061,,,,,Ivan Rakitić,5470.0,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,120,Barcelona,217,['01ace07f-0390-418e-b446-92d8e30b220e'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:16:01.036,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,85.7,43.0,90.1,55.7
,,,,,,,,,,,,,,,,2.225,,,,,,,,,,,,90481a01-b2f1-4133-9bcc-a94f6ba47a97,3221,,"[96.6, 50.5]",266961,76,,,,,0.11272761,a4f91283-6266-490a-aad7-56d3db162411,Right Foot,,,,"[107.2, 51.7]",True,Ground Pass,,10.667708,,,,,Lucas Pérez Martínez,6732.0,,,,Through Ball,True,,2,From Free Kick,Miguel Filipe Nunes Cardoso,10852.0,Right Center Midfield,147,RC Deportivo La Coruña,219,"['220265ba-8600-4674-8773-6204efc0cf0d', '47be984f-1c19-4017-970c-a3e2555a7865']",24,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:31:24.657,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,50.5,107.2,51.7
,,,,,,,,,,,,,,,,1.5444,,,,,,,,,,,,47d32432-c2ad-4bef-80f5-d6125a61a78b,3564,,"[93.7, 29.2]",266961,85,,,,,1.1438456,6e3db642-6b5b-41dc-9b17-8ea23a6f3396,Left Foot,,,,"[104.3, 52.5]",True,Ground Pass,,25.59785,,,,,Alejandro Bergantiños García,23806.0,,,,,,,2,Regular Play,Lucas Pérez Martínez,6732.0,Left Center Forward,162,RC Deportivo La Coruña,219,['71a85b33-5baf-4df0-b645-a94cf6b3f867'],4,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:40:04.006,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7,29.2,104.3,52.5
,,,,,,,,,,,,,,,,1.0883,,,,,,,,,,,,fee22413-40fa-4778-9fbf-03222a54773f,937,,"[106.7, 69.3]",266885,21,,,,,-1.5226853,bc7593bb-9c02-41fc-b273-13251065ec70,Right Foot,True,,,"[108.0, 42.3]",True,Ground Pass,,27.031279,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,38,Barcelona,217,['d52bec3b-73d2-4285-b073-e8f4ac3eed94'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:21:06.028,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7,69.3,108.0,42.3
,,,,,,,,,,,,,,,,2.0939,,,,,,,,,,,,a20da4dd-8f03-44d1-aa5a-ba1bfd201c4e,1582,,"[116.8, 60.7]",266885,40,,,,,-1.9111782,9e0249d0-865f-4567-abcd-90fb4f182847,Right Foot,True,,,"[106.6, 31.9]",True,High Pass,,30.552904,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Corner,Daniel Alves da Silva,4324.0,Right Back,73,Barcelona,217,['c3dd63b2-2a54-4157-8535-007d9ac4c571'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:40:50.565,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,116.8,60.7,106.6,31.9
,,,,,,,,,,,,,,,,0.8742,,,,,,,,,,,,1b46e051-b28b-4497-8cd5-c1eb49933b50,2089,,"[107.6, 23.0]",266885,52,,,,,1.3479952,4d97c2da-8dbb-4a0c-9659-c59a9ecf8857,Left Foot,,,,"[110.5, 35.8]",True,Ground Pass,,13.124405,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,2,From Goal Kick,Jérémy Mathieu,10609.0,Left Back,113,Barcelona,217,['0d868308-7fe3-4a21-9064-d95735e9d5e6'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:07:16.357,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,107.6,23.0,110.5,35.8
