counterpress,duration,id,index,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,team,team_id,timestamp,type,under_pressure,pass_goal_assist,pass_straight,pass_no_touch,pass_miscommunication,formation,position_id,position_name,jersey_number
,3.110391,b19c6c9a-237c-42ee-91fc-2b03ecde6403,1912,"[61.7, 64.3]",3753977,50,,,,-0.30224496,494fed16-e21b-43cd-a4e0-f8ef2e0ecaf0,Right Foot,,,,"[97.3, 53.2]",High Pass,,37.290348,,,José Luis Sanmartín Mato,3265.0,,,Through Ball,True,Recovery,2,From Counter,Jonathan Walters,3670.0,Right Wing,119,Stoke City,30,"['19233f5a-4370-4601-ab81-4a45075eef3d', '417dbf67-0319-4f7f-ad1f-5c1ea58769b7']",39,Stoke City,30,00:05:39.966,Pass,,True,,,,,,,
,1.543713,fbf01fb7-e64d-457d-8dcc-9f34b487dba5,2061,"[103.4, 10.8]",3753977,53,,,,1.3593172,86df9922-6913-4d4f-8a02-31ab833c1c09,Left Foot,True,,,"[111.0, 46.2]",High Pass,,36.20663,,,José Luis Sanmartín Mato,3265.0,True,,,,,2,Regular Play,Marc Muniesa Martínez,6560.0,Left Back,125,Stoke City,30,['a82b162b-4d1c-4096-8472-6e920ff994d8'],38,Stoke City,30,00:08:38.908,Pass,,,,,,,,,
,1.641702,5f27143e-a6ff-4257-805f-141bc0047b7a,2153,"[95.9, 27.6]",3753977,56,,,,1.2460784,21e2d0d8-55b3-43c9-a84a-438577a5f76d,Right Foot,,,,"[99.3, 37.7]",Ground Pass,,10.656922,,,Ibrahim Afellay,4891.0,True,,,,,2,Regular Play,Marko Arnautović,3325.0,Left Wing,134,Stoke City,30,['61097754-81b9-409c-8714-4e46882cf335'],38,Stoke City,30,00:11:38.475,Pass,,,,,,,,,
,1.795634,5f0ef55c-0fce-4de2-a855-dcb18ec263f5,2254,"[92.5, 59.6]",3753977,59,,,,-2.162453,67dec366-f62a-4ab3-b3e2-1ed7638b7d6f,Right Foot,,,,"[79.8, 40.7]",Low Pass,,22.770596,,,Marc Muniesa Martínez,6560.0,True,,,,Recovery,2,From Throw In,Ibrahim Afellay,4891.0,Center Attacking Midfield,140,Stoke City,30,"['a0d3bf55-e8b5-4e69-891a-bd17187fb2fa', 'c4192921-f162-4af6-8c06-136d26a17767']",28,Stoke City,30,00:14:28.452,Pass,,,,,,,,,
,1.671393,92dae134-6b89-464b-b698-3826a587582f,2718,"[117.3, 8.8]",3753977,70,,,,2.196517,77d17204-ca88-4904-a10d-1e2fffba8223,Right Foot,,True,,"[106.1, 24.3]",Ground Pass,,19.123022,,,Nordin Amrabat,3302.0,True,,,,,2,Regular Play,Odion Jude Ighalo,5458.0,Right Center Forward,165,Watford,23,['1515c529-5412-4395-bcc7-0253a6d9bc44'],11,Watford,23,00:25:11.157,Pass,,,,,,,,,
,1.136532,40ee07f4-1f2f-496a-8e0d-fd804a2cf12c,3090,"[95.8, 60.9]",3753977,80,,,,-1.8086323,a448e51f-7a20-4841-baa4-d21766d99350,Right Foot,,,,"[91.8, 44.4]",Ground Pass,,16.977926,,,Mario Suárez Mata,23488.0,True,,,,,2,Regular Play,Adlène Guédioura,4828.0,Right Midfield,192,Watford,23,['52485311-eed2-4366-8a1b-b5ff2b2be85a'],22,Watford,23,00:35:22.189,Pass,,,,,,,,,
,0.612981,79a0cea4-9c43-4f64-9d92-fb7261b3196b,3224,"[118.1, 26.5]",3753977,85,,,,2.0054665,caaff822-0a34-4435-b377-3e46a6e3ea5d,Left Foot,True,,,"[114.2, 34.9]",Low Pass,,9.2612095,,,Troy Deeney,3454.0,,,,,,2,From Throw In,Ikechi Anya,40118.0,Left Back,201,Watford,23,['b1d99e10-9e4a-4106-98f8-7188f5c1ba10'],5,Watford,23,00:40:05.522,Pass,,True,,,,,,,
,1.265136,6dd0cb7d-b980-4c49-8686-755e2ad0998f,49,"[120.0, 80.0]",3753980,1,,,,-1.7117901,58c14ac5-a4f2-4915-96ec-617b40efb4cf,Right Foot,,,,"[115.6, 49.0]",Low Pass,,31.310701,,,Séamus Coleman,4589.0,True,,Straight,,Corner,1,From Corner,Tom Cleverley,3683.0,Left Wing,3,Everton,29,['d86b6f4c-7417-4ea1-92c9-bba9e4573edb'],7,Everton,29,00:01:07.096,Pass,,,True,,,,,,
,1.496671,9a8679de-83bb-4f6a-9e22-b80ff7a5e418,94,"[120.0, 0.1]",3753980,3,,,,1.9262011,8e444669-3910-4bf2-afe6-03cbabfc7b4e,Left Foot,,,,"[107.9, 32.7]",High Pass,,34.77312,,True,Gabriel Armando de Abreu,6746.0,True,,Outswinging,,Corner,1,From Corner,Mesut Özil,3496.0,Center Attacking Midfield,7,Arsenal,1,['e720b688-ec87-4ebf-bc05-a2c6996f666c'],34,Arsenal,1,00:03:34.972,Pass,,,,,,,,,
,1.73125,70e56596-a59b-43c3-a030-c9577c1df2f4,225,"[93.1, 49.2]",3753980,6,,,,-0.3708913,8b60f6a2-b05d-486d-9dce-63320b1a16f0,Left Foot,,,,"[111.1, 42.2]",Ground Pass,,19.313208,,,Daniel Nii Tackie Mensah Welbeck,3569.0,,,Through Ball,True,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,14,Arsenal,1,['d7e6f4a7-b88a-46eb-b7e4-287e87e60b3b'],19,Arsenal,1,00:06:19.923,Pass,,True,,,,,,,
,1.546598,a42c0ff4-4bb2-4e23-96ba-26355bdf4952,241,"[97.5, 45.3]",3753980,7,,,,-1.3527615,0ee5079d-b5fc-4258-bfa6-0f381794c448,Right Foot,,,,"[101.2, 28.6]",Ground Pass,,17.10497,,,Alex Iwobi,3647.0,True,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,17,Arsenal,1,['96224593-d482-437f-8699-75622c86250b'],16,Arsenal,1,00:07:16.444,Pass,,,,,,,,,
,0.699145,d18fd6be-74da-4405-85f1-d18f1fb88248,894,"[95.7, 31.1]",3753980,20,,,,-0.5802708,8d2dc28d-e19b-43ea-aa95-e3039033dcbf,Right Foot,,,,"[104.7, 25.2]",Ground Pass,,10.761505,,,Mesut Özil,3496.0,True,,,,,1,Regular Play,Alex Iwobi,3647.0,Left Wing,42,Arsenal,1,"['9d4cc4d7-bbbf-4c74-9c05-cdee793e9baa', 'ad67f214-85e1-4573-959d-b378fd2cdfce']",54,Arsenal,1,00:20:54.836,Pass,True,,,,,,,,
,0.618477,97669185-fd1e-4d7c-a92c-64e1f911b62d,945,"[102.2, 25.4]",3753980,22,,,,2.4387136,e6e6ae48-ce4e-4587-933d-e8b7ab028072,Right Foot,,,,"[95.0, 31.5]",Ground Pass,,9.436631,,,Muhamed Bešić,3476.0,True,,,,,1,From Goal Kick,Ross Barkley,4275.0,Center Attacking Midfield,44,Everton,29,['b4533c58-0969-4701-ae51-1c1199ad6293'],34,Everton,29,00:22:34.425,Pass,,,,,,,,,
