50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,bad_behaviour_card,dribble_overrun,miscontrol_aerial_won,pass_deflected,pass_inswinging,pass_straight,pass_through_ball,ball_recovery_offensive,block_deflection,block_offensive,shot_one_on_one,dribble_no_touch,foul_committed_offensive,shot_deflected,shot_open_goal,block_save_block,goalkeeper_punched_out,foul_won_penalty,shot_redirect,goalkeeper_success_in_play,goalkeeper_shot_saved_off_target,shot_saved_off_target,shot_follows_dribble,goalkeeper_shot_saved_to_post,shot_saved_to_post,goalkeeper_lost_in_play,goalkeeper_lost_out,half_start_late_video_start,player_off_permanent,pass_start_x,pass_start_y,pass_end_x,pass_end_y
,,,,,,,,,,,,,,,0.658121,,,,,,,,,,,,,2f30a264-82f4-4b17-9851-a56d7f3b6112,3026,,,"[92.1, 36.4]",3878601,74,,,,0.5543075,40dd36a6-0281-4335-be57-8f490336e4c1,Right Foot,,,"[102.6, 42.9]",True,Ground Pass,12.349089,,,,,Eder Citadin Martins,7000.0,,,Through Ball,,2,From Throw In,Luis Fernando Muriel Fruto,6334.0,Right Center Forward,147,Sampdoria,234,"['4b5c0d01-2a3c-411d-936f-d384c4e5a4c8', '707fe579-79bb-491c-8572-1badf194add3']",4,,,,,,,,,,,,,,,,Sampdoria,234,00:29:04.771,Pass,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,92.1,36.4,102.6,42.9
,,,,,,,,,,,,,,,0.474501,,,,,,,,,,,,,232b2ccc-019a-4609-93f6-3e2f094d787d,3199,,,"[89.9, 13.9]",3878601,78,,,,1.0743736,a2c21c32-891f-431b-b8b0-f16b44b847cd,Right Foot,,,"[93.8, 21.1]",True,Ground Pass,8.188406,,,,,Roberto Soriano,6759.0,,,,,2,From Keeper,Carlos Joaquín Correa,6822.0,Center Attacking Midfield,153,Sampdoria,234,"['6dbe15d5-2d8b-4b39-8700-8216484a0d7b', '9f28424b-107c-4f7c-9be9-e048820458b6']",35,,,,,,,,,,,,,,,,Sampdoria,234,00:33:35.779,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.9,13.9,93.8,21.1
,,,,,,,,,,,,,,,1.345099,,,,,,,,,,,,,7098b5e0-9c70-41dd-880f-7fb3990a1548,2118,,,"[60.8, 67.9]",3878600,57,,,,-0.36222687,588b7a1c-08e1-404f-a0bb-371c1134002d,Right Foot,,,"[79.8, 60.7]",True,Ground Pass,20.318464,,,,,Fredy Alejandro Guarín Vásquez,32807.0,,,,,2,Regular Play,Davide Santon,6999.0,Right Back,129,Inter Milan,238,['ff9ee5eb-8ecb-48f0-afac-3b7777a9731a'],2,,,,,,,,,,,,,,,,Inter Milan,238,00:12:02.457,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8,67.9,79.8,60.7
,,,,,,,,,,,,,,,1.444123,,,,,,,,,,,,,f1bf4a58-bea2-4f6d-a406-1315bf7ba931,361,,,"[114.3, 14.5]",3878599,11,,,,1.804372,7e6d3f19-c2cc-4139-a4d4-e06347be5765,Left Foot,True,,"[107.9, 41.4]",True,High Pass,27.65086,,,,,Mauricio Ricardo Pinilla Ferreira,36770.0,,,,,1,From Free Kick,Alejandro Darío Gómez,7006.0,Left Wing,29,Atalanta,228,['4409d709-8dbc-4a89-b498-21f72079a07e'],59,,,,,,,,,,,,,,,,Atalanta,228,00:11:59.911,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.3,14.5,107.9,41.4
,,,,,,,,,,,,,,,1.500389,,,,,,,,,,,,,4584705c-f80d-49c8-aba8-4cde43cbeec5,669,,,"[90.9, 14.0]",3878599,21,True,,,1.3946742,d457e488-ac06-43f0-9cc9-05196700808a,Right Foot,,,"[93.0, 25.8]",True,Ground Pass,11.985408,,,,,Francesco Magnanelli,7127.0,,,,Free Kick,1,From Free Kick,Antonio Floro Flores,27110.0,Left Wing,55,Sassuolo,232,['48715ee6-c461-48ea-b7b3-807cb92ac21a'],23,,,,,,,,,,,,,,,,Sassuolo,232,00:21:23.433,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9,14.0,93.0,25.8
,,,,,,,,,,,,,,,1.225455,,,,,,,,,,,,,57ead689-fedd-423e-997d-1a642e5a82f2,1330,,,"[76.6, 31.4]",3878599,39,,,,-0.9378119,e99c3797-0f2a-4226-a6a3-2dfda58a810b,Left Foot,,,"[90.1, 13.0]",True,Ground Pass,22.821262,,,,,Antonio Floro Flores,27110.0,,,,,1,Regular Play,Joseph Alfred Duncan,7698.0,Left Center Midfield,99,Sassuolo,232,"['acbd3117-2993-4dd8-9de4-920214386c01', 'b9f7c709-a439-47d5-9807-1a0ab16401d1']",47,,,,,,,,,,,,,,,,Sassuolo,232,00:39:47.030,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6,31.4,90.1,13.0
,,,,,,,,,,,,,,,1.26417,,,,,,,,,,,,,a7b97a8a-52c2-4c80-a552-ddf33d14a1f1,2264,,,"[100.7, 26.7]",3878598,62,,,,0.4987769,86abc64e-b123-4831-8ee1-0cd2d8bdb9d5,Right Foot,,,"[113.0, 33.4]",True,Ground Pass,14.006427,,,,,Marco Borriello,8871.0,,,Through Ball,,2,Regular Play,Ryder Matos Santos,7696.0,Center Attacking Midfield,134,Carpi,1683,['d2975db3-3a77-4b7f-ae55-99aeadd09b27'],51,,,,,,,,,,,,,,,,Carpi,1683,00:17:51.991,Pass,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,100.7,26.7,113.0,33.4
,,,,,,,,,,,,,,,1.700001,,,,,,,,,,,,,f45c7d9d-6d29-4af5-b182-4917ecf16ebf,3046,,,"[93.5, 1.9]",3878598,87,,,,1.0851166,59408dfa-4587-4c35-9eb3-d5eb47a1a6b5,Left Foot,True,,"[113.4, 39.6]",True,High Pass,42.629803,,,,,Uroš Đurđević,23846.0,,,,,2,Regular Play,Achraf Lazaar,10032.0,Left Wing Back,177,Palermo,2256,['608f5e85-1b38-4e55-8722-11bcaabb8e6c'],22,,,,,,,,,,,,,,,,Palermo,2256,00:42:22.811,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,1.9,113.4,39.6
,,,,,,,,,,,,,,,2.927602,,,,,,,,,,,,,530709cd-3061-4e96-9d99-774cc2e90731,103,,,"[56.8, 64.7]",3878597,2,,,,0.03804392,013d24e0-0e6e-4c6a-99af-a63d4e49f677,Right Foot,,,"[85.7, 65.8]",True,Low Pass,28.920927,,,,,Riccardo Saponara,7150.0,,,Through Ball,Recovery,1,From Throw In,Piotr Zieliński,5660.0,Right Center Midfield,8,Empoli,290,['f10f84e4-1da7-45f9-a319-21627bf0f88d'],7,,,,,,,,,,,,,,,,Empoli,290,00:02:07.592,Pass,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,56.8,64.7,85.7,65.8
,,,,,,,,,,,,,,,0.780563,,,,,,,,,,,,,019248b4-48f2-4647-b7ec-459cb4d8f2ff,251,,,"[102.0, 63.4]",3878597,6,,,,-1.9460671,4eb5428d-00c5-47d2-9147-ecb0afa366a1,Left Foot,,,"[96.8, 50.2]",True,Ground Pass,14.187318,,,,,Lorenzo Insigne,7037.0,,,,,1,Regular Play,Manolo Gabbiadini,3949.0,Right Center Forward,16,Napoli,227,['614f4124-8202-49db-856e-0bc75868a385'],39,,,,,,,,,,,,,,,,Napoli,227,00:06:39.072,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,63.4,96.8,50.2
